date,peak_error_mw,peak_timing_error_h
2023-10-02,131.26565165078136,0.0
2023-10-03,-315.03547895757947,0.0
2023-10-04,147.41195385685933,1.0
2023-10-05,121.86298451243056,0.0
2023-10-06,263.60094902959463,-6.0
2023-10-07,-134.9406231165085,0.0
2023-10-08,-175.36824722581878,0.0
2023-10-09,436.2664318840107,0.0
2023-10-10,-708.5355098800646,0.0
2023-10-11,-673.7356064384476,-10.0
2023-10-12,-66.78210061550635,-11.0
2023-10-13,825.7257828706788,1.0
2023-10-14,-269.7933735553306,-9.0
2023-10-15,-624.8355269669919,0.0
2023-10-16,306.6630115901535,0.0
2023-10-17,104.7245712179174,0.0
2023-10-18,276.0603483971354,11.0
2023-10-19,684.8206504754817,0.0
2023-10-20,315.4414531878574,0.0
2023-10-21,-212.48750436230694,0.0
2023-10-22,-1249.5980255987415,0.0
2023-10-23,-665.5879090484596,-10.0
2023-10-24,-346.8837786691947,0.0
2023-10-25,156.08310627212268,0.0
2023-10-26,-106.81910657948902,0.0
2023-10-27,-209.67122026173456,1.0
2023-10-28,-12.31407081231373,0.0
2023-10-29,-2049.8853701225453,0.0
2023-10-30,-2110.9240147207565,1.0
2023-10-31,-673.7010519750365,1.0
2023-11-01,198.61810107635756,0.0
2023-11-02,-711.3318386600513,0.0
2023-11-03,633.5334785733539,-1.0
2023-11-04,406.49051641779806,0.0
2023-11-06,633.4030141223993,11.0
2023-11-07,-473.07105646819764,1.0
2023-11-08,75.91366006449607,0.0
2023-11-09,-1544.3015236268548,-10.0
2023-11-10,1075.6261288726273,0.0
2023-11-11,49.13198658948386,0.0
2023-11-12,-1351.372819318207,1.0
2023-11-13,-170.09779627412718,10.0
2023-11-14,401.52812704471944,10.0
2023-11-15,649.215459104722,10.0
2023-11-16,-66.80681239739715,1.0
2023-11-17,2023.3562631525128,10.0
2023-11-18,-839.3938948682589,0.0
2023-11-19,216.861975480806,0.0
2023-11-20,-996.5205282596689,0.0
2023-11-21,-78.44346450498779,0.0
2023-11-22,129.38389536459727,0.0
2023-11-23,-892.13339463601,-10.0
2023-11-24,-3203.9275087210735,0.0
2023-11-25,-552.0743932793412,0.0
2023-11-26,455.47513382364923,1.0
2023-11-27,-760.9107298445961,0.0
2023-11-28,-2698.189377411163,0.0
2023-11-29,-386.5886092003275,0.0
2023-11-30,1210.5033209625144,11.0
2023-12-01,2651.6788965853957,0.0
2023-12-02,628.704565543947,0.0
2023-12-03,-643.7424608017536,0.0
2023-12-04,-953.3826792173168,0.0
2023-12-05,-859.2477525798131,0.0
2023-12-06,316.1403002324005,0.0
2023-12-07,160.48150981043,0.0
2023-12-08,76.82550503924722,0.0
2023-12-09,190.75579250194278,8.0
2023-12-10,948.8195403968421,0.0
2023-12-11,-2001.7011255218058,0.0
2023-12-12,136.48225361032382,10.0
2023-12-13,-1825.0482140400309,0.0
2023-12-14,-703.1677862067627,11.0
2023-12-15,232.92833041099948,10.0
2023-12-16,-569.6780779365254,0.0
2023-12-17,2836.407346123702,0.0
2023-12-18,1428.3008686603753,0.0
2023-12-19,-2587.4122538775046,0.0
2023-12-20,423.60272707236436,10.0
2023-12-21,-2799.0203437161363,10.0
2023-12-22,-10.429269850726996,0.0
2023-12-23,712.7428364967091,-1.0
2023-12-24,1005.4225369201304,8.0
2023-12-25,2828.064767292788,8.0
2023-12-26,728.5368345846291,1.0
2023-12-27,394.09996324644453,0.0
2023-12-28,1728.2292594744722,0.0
2023-12-29,-272.5531684985108,0.0
2023-12-30,965.0882281888189,0.0
2023-12-31,-285.5292943155364,0.0
