horizon,n,mae,rmse,wape,bias
1,90,183.10061066164732,237.68703533251565,0.008821070300183389,-105.79415758633948
2,90,206.97412773054126,281.6254625584253,0.010058522646278482,-112.3859745047654
3,90,251.45417038568434,347.58145375226053,0.012236519129644593,-123.59298355423662
4,90,283.31459230204956,409.7563297483738,0.01372290910192675,-108.4442328036002
5,90,346.53067319183145,496.8330510617871,0.016535789364357602,-67.99440306081479
6,90,418.58101387893726,606.6617972653879,0.019271647076042467,-4.2545833707450385
7,90,593.3708106866709,814.0016852922355,0.025654175445645355,98.62041318753167
8,90,637.7411724893865,913.7376226202127,0.02639925339916096,128.03664617048472
9,90,561.6927026330683,794.3124457650748,0.023133738724873492,27.380602406562602
10,90,571.9997126377767,758.6645723090817,0.023800599282284847,-45.204868309724006
11,90,619.4191740360428,818.6349261640964,0.026049959788082642,-99.41631009857855
12,90,717.1093333432962,954.4223985266726,0.030428866182508913,-96.81664069720763
13,90,765.8087138515532,1000.8770778455971,0.032888319622844324,-145.96780418775626
14,90,768.3986691881212,986.6735211643867,0.03336668699968442,-142.00120163703698
15,90,816.743465649375,1050.6839935765552,0.03559493686557689,-130.6165247938423
16,90,835.0769700898239,1082.1914483804403,0.03586060272041378,-119.45000568339985
17,90,940.8546707690057,1203.6035612175624,0.03886539736261172,-46.757676243627955
18,90,941.1780770111693,1228.0042410325873,0.03787391189655485,-23.28647378487864
19,90,997.658645382862,1353.4319827977522,0.04035493993670474,42.968058978025795
20,90,1068.740590325063,1439.6598259743928,0.04409420768953077,152.12997963720784
21,90,1094.6200013011503,1478.1848832647677,0.04627071259446889,175.6062932588029
22,90,1118.3736712317818,1483.6328301030444,0.0487861942690898,118.16489014567354
23,90,1100.904026010427,1465.429370624007,0.04992059864159214,86.97925748167874
24,90,1125.1765562786395,1478.5425205150464,0.05283907109696989,21.9983871734673
